,a,b,c,d,e,tess,Truth
180071,a,"result,",materlally,slow,the,materlally,materially
180074,slow,the,grwth,1n,the,grwth,growth
180075,the,grwth,1n,the,1ndustry's,1n,in
180077,1n,the,1ndustry's,productlon,facllltles,1ndustry's,industry's
180078,the,1ndustry's,productlon,facllltles,and,productlon,production
180079,1ndustry's,productlon,facllltles,and,employment.,facllltles,facilities
180084,cost,the,1ndustry's,employees,bllllons,1ndustry's,industry's
180086,1ndustry's,employees,bllllons,of,dollars,bllllons,billions
180089,of,dollars,1n,0::,real,1n,in
180090,dollars,1n,0::,real,"wages,",0::,lost
180096,reduce,the,1ndustry...s,output,substantlal,1ndustry...s,industry’s
180107,prevall.,The,competllve,posltlon,of,competllve,competitive
180108,The,competllve,posltlon,of,v.5.,posltlon,position
180110,posltlon,of,v.5.,chemlcal,manufacturers,v.5.,U.S.
180111,of,v.5.,chemlcal,manufacturers,1n,chemlcal,chemical
180113,chemlcal,manufacturers,1n,both,domes:,1n,in
180126,on,January,"2‘,",the,Senate,"2‘,","6,"
180129,the,Senate,Flnance,Commlttee,announced,Flnance,Finance
180136,will,hold,hearlngs,on,tax,hearlngs,hearings
180140,tax,reform,beglnnlng,January,29,beglnnlng,beginning
180143,January,29,emphaslzlng,the,consequence,emphaslzlng,emphasizing
180147,consequence,of,3.x.,3939,for,3.x.,H.R.
180148,of,3.x.,3939,for,1nternatlonal,3939,3838
180150,3939,for,1nternatlonal,trade,of,1nternatlonal,international
180153,trade,of,v.5.,manufacture,s.,v.5.,U.S.
180158,In,these,"he.r1ngs,",CMA,15,"he.r1ngs,","hearings,"
180161,CMA,15,requestlng,the,opportunlty,requestlng,requesting
180163,requestlng,the,opportunlty,m,testlfy.,opportunlty,opportunity
180165,opportunlty,m,testlfy.,The,Tax,testlfy.,testify.
180176,Relatlons,Commlttee's,Taxatlon,Tak,Group,Taxatlon,Taxation
180177,Commlttee's,Taxatlon,Tak,Group,have,Tak,Task
180182,developed,a,comprehenslve,leglslatlve,strategy,comprehenslve,comprehensive
180183,a,comprehenslve,leglslatlve,strategy,an,leglslatlve,legislative
180190,on,tax,recom,leglslatlon.,The,recom,reform
180191,tax,recom,leglslatlon.,The,Taxatlon,leglslatlon.,legislation.
180193,leglslatlon.,The,Taxatlon,Task,Group,Taxatlon,Taxation
180197,Group,has,hld,regular,meetlngs,hld,held
180199,hld,regular,meetlngs,m,luvplement,meetlngs,meetings
180201,meetlngs,m,luvplement,thls,work,luvplement,implement
180202,m,luvplement,thls,work,"plan,",thls,this
180207,to,share,1ntelllgenc,on,tax,1ntelllgenc,intelligence
180210,on,tax,"leglslatlon,",and,to,"leglslatlon,","legislation,"
180213,and,to,coordlnate,CMA,actlvltles,coordlnate,coordinate
180215,coordlnate,CMA,actlvltles,Hlth,allled,actlvltles,activities
180216,CMA,actlvltles,Hlth,allled,trad,Hlth,with
180217,actlvltles,Hlth,allled,trad,assoclatlons.,allled,allied
180218,Hlth,allled,trad,assoclatlons.,am,trad,trade
180219,allled,trad,assoclatlons.,am,has,assoclatlons.,associations.
180224,now,been,jolned,by,other,jolned,joined
180265,the,ta,unpact,on,those,unpact,impact
180268,on,those,pollcles,than,was,pollcles,policies
180272,was,shown,1n,the,House.,1n,in
180284,CMA,CMA,039599,4,Attachment,039599,038599
180287,4,Attachment,199571995,TAX,LEGISLA,199571995,1985-1986
180308,EVALUATION,A.,Revlew,0,Treasury,Revlew,Review
180312,Treasury,I,Refom,Plan,(completed,Refom,Reform
180316,(completed,May,19357,J,B.,19357,1985)
180319,J,B.,Analysls,of,Treasury,Analysls,Analysis
180327,Proposals,1.,Analysls,(completed,July,Analysls,Analysis
180331,July,"31,",19357,2.,cm,19357,1985)
180333,19357,2.,cm,Stat-ment,on,cm,CMA
180334,2.,cm,Stat-ment,on,Tax,Stat-ment,Statement
180337,on,Tax,Refom,for,House,Refom,Reform
180349,19357,c.,Revlew,.5,3.x.,Revlew,Review
180350,c.,Revlew,.5,3.x.,"3939,",.5,of
180351,Revlew,.5,3.x.,"3939,",Bonsaipassed,3.x.,H.R.
180352,.5,3.x.,"3939,",Bonsaipassed,Tax,"3939,","3838,"
180353,3.x.,"3939,",Bonsaipassed,Tax,Revlslon,Bonsaipassed,House-passed
180355,Bonsaipassed,Tax,Revlslon,Leglslatlon,1.,Revlslon,Revision
180356,Tax,Revlslon,Leglslatlon,1.,Analysls,Leglslatlon,Legislation
180358,Leglslatlon,1.,Analysls,(under,wayy,Analysls,Analysis
180360,Analysls,(under,wayy,2.,Revlslo,wayy,way)
180362,wayy,2.,Revlslo,of,CMA,Revlslo,Revision
180368,to,Reflect,Provlslons,of,3.x.,Provlslons,Provisions
180370,Provlslons,of,3.x.,3939,(under,3.x.,H.R.
180371,of,3.x.,3939,(under,wayy,3939,3838
180373,3939,(under,wayy,u.,Selectl-,wayy,way)
180375,wayy,u.,Selectl-,of,Prlorlty,Selectl-,Selection
180377,Selectl-,of,Prlorlty,Issues,by,Prlorlty,Priority
180381,by,Tax,Pollcy,Commlttee,unltlally,Pollcy,Policy
180383,Pollcy,Commlttee,unltlally,completed,August,unltlally,(initially
180387,August,"13,",1935;,reassessment,1n,1935;,1985;
180389,1935;,reassessment,1n,llght,of,1n,in
180390,reassessment,1n,llght,of,1.,llght,light
180407,Means,to,b-,scheduled,after,b-,be
180410,scheduled,after,completlon,of,Bonsaisenate,completlon,completion
180412,completlon,of,Bonsaisenate,Conference,on,Bonsaisenate,House-Senate
180416,on,Superfund,Reauthorlzatlon.,2.,cm,Reauthorlzatlon.,Reauthorization.
180430,on,H.,ostmn,smums,A.,ostmn,OUTSIDE
180431,H.,ostmn,smums,A.,Prlce*W—terhouse,smums,STUDIES
180433,smums,A.,Prlce*W—terhouse,Study,on,Prlce*W—terhouse,Price-Waterhouse
180436,Study,on,Effectlve,Tax,Rates,Effectlve,Effective
180439,Tax,Rates,1n,the,Chemlcal,1n,in
180441,1n,the,Chemlcal,Industry.,1.,Chemlcal,Chemical
180444,Industry.,1.,Complet-d,(approved,2.,Complet-d,Completed
180447,(approved,2.,Transml-ted,to;,August,Transml-ted,Transmitted
180451,August,"13,",19357,Joint,Comm,19357,1985)
180471,Flnance,Treasury,D-partment,(Asslstant,Secretary,D-partment,Department
180472,Treasury,D-partment,(Asslstant,Secretary,for,(Asslstant,(Assistant
180476,for,Tax,pollcyy,3.,Artlcle,pollcyy,Policy)
180478,pollcyy,3.,Artlcle,1n,Tax,Artlcle,Article
180479,3.,Artlcle,1n,Tax,Notes,1n,in
180482,Tax,Notes,(publlshed,August,"19,",(publlshed,(published
180485,August,"19,",19957,4.,Contlnu-d,19957,1985)
180487,19957,4.,Contlnu-d,use,1n,Contlnu-d,Continued
180489,Contlnu-d,use,1n,Congresslonal,Tax,1n,in
180490,use,1n,Congresslonal,Tax,and,Congresslonal,Congressional
180496,advocacy,CMA,039500,B.,I,039500,038600
180500,I,RET,Sludy,on,Impact,Sludy,Study
180504,Impact,on,Chemlcal,Industry,of,Chemlcal,Chemical
180509,Proposed,Changes,1n,Tax,Tre.tment,1n,in
180511,1n,Tax,Tre.tment,of,Capltalilntenslve,Tre.tment,Treatment
180513,Tre.tment,of,Capltalilntenslve,Investments,(completed,Capltalilntenslve,Capital-intensive
180517,(completed,and,approV-d,December,"1,",approV-d,approved
180520,December,"1,",19357,111.,ADVD,19357,1985)
180526,uocumms,A.,3351c,A,statement,3351c,Basic
180531,on,tax,recom,dellvered,to,recom,reform
180532,tax,recom,dellvered,to,House,dellvered,delivered
180538,and,Means,(Jul,"30,",19357,(Jul,(July
180540,(Jul,"30,",19357,B.,Summary,19357,1985)
180544,Summary,CMA,posltlon,on,tax,posltlon,position
180550,(August,"15,",19357,c.,Prepara-lon,19357,1985)
180552,19357,c.,Prepara-lon,of,Separate,Prepara-lon,Preparation
180563,July,"30,",19357,b.,Brlef,19357,1985)
180565,19357,b.,Brlef,Satements,(completed,Brlef,Brief
180566,b.,Brlef,Satements,(completed,August,Satements,Statements
180570,August,"23,",19357,c.,Modlflc.tlon,19357,1985)
180572,19357,c.,Modlflc.tlon,to,reflect,Modlflc.tlon,Modification
180578,passage,of,3.x.,3939,(under,3.x.,H.R.
180579,of,3.x.,3939,(under,way,3939,3838
180582,(under,way,Speclflc,Isues,(1n,Speclflc,Specific
180583,way,Speclflc,Isues,(1n,order,Isues,Issues
180584,Speclflc,Isues,(1n,order,of,(1n,(in
180587,order,of,pnontyy:,1.,Capltal,pnontyy:,priority):
180589,pnontyy:,1.,Capltal,Cost,Recovery,Capltal,Capital
180598,Credit,2.,Forelgn,Tax,Credit,Forelgn,Foreign
180604,Per,Country,leltatlon,3.,Minimum,leltatlon,Limitation
180608,Minimum,Tax,(Admlnlstratlon,and,3.x.,(Admlnlstratlon,(Administration
180610,(Admlnlstratlon,and,3.x.,3939,alternathEV,3.x.,H.R.
180611,and,3.x.,3939,alternathEV,4.,3939,3838
180612,3.x.,3939,alternathEV,4.,Source,alternathEV,alternative)
180615,4.,Source,ule,For,Sales,ule,Rule
180626,Interest),5.,Researc,and,Development,Researc,Research
180631,Expenses,7.,Sectlon,935,Possesslons,Sectlon,Section
180632,7.,Sectlon,935,Possesslons,Credlt,935,936
180633,Sectlon,935,Possesslons,Credlt,(Puerto,Possesslons,Possessions
180634,935,Possesslons,Credlt,(Puerto,R1co7,Credlt,Credit
180636,Credlt,(Puerto,R1co7,LEGISLATI,commas,R1co7,Rico)
180637,(Puerto,R1co7,LEGISLATI,commas,A.,LEGISLATI,LEGISLATIVE
180638,R1co7,LEGISLATI,commas,A.,1n,commas,CONTACTS
180665,Group,and,cm.,"(completed,",September,cm.,CMA.
180669,September,"13,",19357,2.,Inltlal,19357,198S)
180671,19357,2.,Inltlal,Contacts,7,Inltlal,Initial
180692,CMA,advocacy,"p.pers,",to,respond,"p.pers,","papers,"
180696,respond,to,questlons,on,speclflc,questlons,questions
180698,questlons,on,speclflc,"lssues,",an,speclflc,specific
180699,on,speclflc,"lssues,",an,to,"lssues,","issues,"
180708,October,"1,",19357,CMA,039501,19357,1985)
180710,19357,CMA,039501,3.,Task,039501,038601
180729,tax,"leglslatlon,",1n,these,-et1ngs,1n,in
180731,1n,these,-et1ngs,cm,coordlnates,-et1ngs,meetings
180732,these,-et1ngs,cm,coordlnates,the,cm,CMA
180733,-et1ngs,cm,coordlnates,the,tax,coordlnates,coordinates
180736,the,tax,leglslatlve,actlvlty,.5,leglslatlve,legislative
180737,tax,leglslatlve,actlvlty,.5,the,actlvlty,activity
180738,leglslatlve,actlvlty,.5,the,Washlngton,.5,of
180740,.5,the,Washlngton,representatlves,through,Washlngton,Washington
180741,the,Washlngton,representatlves,through,speclflc,representatlves,representatives
180756,B.,House,dvocacy,Asslgnments,1.,dvocacy,Advocacy
180757,House,dvocacy,Asslgnments,1.,commlt,Asslgnments,Assignments
180766,Means,3.,cm,St.tement,on,cm,CMA
180767,3.,cm,St.tement,on,Tax,St.tement,Statement
180770,on,Tax,Refom,7,Presented,Refom,Reform
180776,Dexter,F.,Baker.,"Pr-sldent,",Alr,Baker.,"Baker,"
180777,F.,Baker.,"Pr-sldent,",Alr,Products,"Pr-sldent,","President,"
180778,Baker.,"Pr-sldent,",Alr,Products,and,Alr,Air
180781,Products,and,Chemlcals.,Inc.,b.,Chemlcals.,"Chemicals,"
180784,Inc.,b.,Meetlns,Hlth,Professlonal,Meetlns,Meetings
180785,b.,Meetlns,Hlth,Professlonal,Staff,Hlth,with
180786,Meetlns,Hlth,Professlonal,Staff,(Contlnulng),Professlonal,Professional
180788,Professlonal,Staff,(Contlnulng),c.,Meetlns,(Contlnulng),(continuing)
180790,(Contlnulng),c.,Meetlns,Hlth,Commlttee,Meetlns,Meetings
180791,c.,Meetlns,Hlth,Commlttee,Staff,Hlth,with
180795,Staff,Leaders,(contlnulng),d.,Meetln-s,(contlnulng),(continuing)
180797,(contlnulng),d.,Meetln-s,Hlth,Indlvldual,Meetln-s,Meetings
180798,d.,Meetln-s,Hlth,Indlvldual,Members,Hlth,with
180799,Meetln-s,Hlth,Indlvldual,Members,1.,Indlvldual,Individual
180811,September,"13,",19557,11.,cm,19557,1965)
180825,ways,and,sans,m,be,sans,Means
180830,scheduled,after,completlon,of,House*5en.te,completlon,completion
180832,completlon,of,House*5en.te,Conference,on,House*5en.te,House-Senate
180836,on,Superfund,Reauthorlzatlon.,2.,Leader-hlp,Reauthorlzatlon.,Reauthorization.
180838,Reauthorlzatlon.,2.,Leader-hlp,a.,Meetlns,Leader-hlp,Leadership
180840,Leader-hlp,a.,Meetlns,Hlth,House,Meetlns,Meetings
180841,a.,Meetlns,Hlth,House,Democratlc,Hlth,with
180843,Hlth,House,Democratlc,Leadershlp,(completed,Democratlc,Democratic
180844,House,Democratlc,Leadershlp,(completed,September,Leadershlp,Leadership
180848,September,"17,",19357,b.,Meetlns,19357,1985)
180850,19357,b.,Meetlns,Hlth,House,Meetlns,Meetings
180851,b.,Meetlns,Hlth,House,Republlcan,Hlth,with
180853,Hlth,House,Republlcan,Leadershlp,(under,Republlcan,Republican
180854,House,Republlcan,Leadershlp,(under,wayy,Leadershlp,Leadership
180856,Leadershlp,(under,wayy,a.,Senate,wayy,way)
180861,1.,Senate,Flnance,Commlttee,3.,Flnance,Finance
180864,Commlttee,3.,cm,Reuest,m,cm,CMA
180865,3.,cm,Reuest,m,Testlfy,Reuest,Request
180867,Reuest,m,Testlfy,1n,Hearlngs,Testlfy,Testify
180868,m,Testlfy,1n,Hearlngs,on,1n,in
180869,Testlfy,1n,Hearlngs,on,3.x.,Hearlngs,Hearings
180871,Hearlngs,on,3.x.,3939,(under,3.x.,H.R.
180872,on,3.x.,3939,(under,HBV,3939,3838
180874,3939,(under,HBV,b.,staff,HBV,way)
180877,b.,staff,eadershlp,monunumgy,a.,eadershlp,Leadership
180878,staff,eadershlp,monunumgy,a.,Tax,monunumgy,(continuing)
180881,a.,Tax,Prufesslonals,(contlnulng),d.,Prufesslonals,Professionals
180882,Tax,Prufesslonals,(contlnulng),d.,Indlvlwual,(contlnulng),(continuing)
180884,(contlnulng),d.,Indlvlwual,Senators,7,Indlvlwual,Individual
180887,Senators,7,Speclflc,asslgnments,of,Speclflc,Specific
180888,7,Speclflc,asslgnments,of,Washlngton,asslgnments,assignments
180890,asslgnments,of,Washlngton,represent,tlves,Washlngton,Washington
180897,2.,Senate,leadershlp,7,Speclflc,leadershlp,leadership
180899,leadershlp,7,Speclflc,asslgnments,m,Speclflc,Specific
180900,7,Speclflc,asslgnments,m,be,asslgnments,assignments
180906,after,CMA,mean-,CMA,testlony,mean-,038602
180908,mean-,CMA,testlony,on,3.x.,testlony,testimony
180910,testlony,on,3.x.,3939.,Admlnlstr-tlon,3.x.,H.R.
180911,on,3.x.,3939.,Admlnlstr-tlon,Contacts,3939.,3838.
180912,3.x.,3939.,Admlnlstr-tlon,Contacts,A.,Admlnlstr-tlon,Administration
180915,Contacts,A.,Inltla,comments,to,Inltla,Initial
180920,Treasury,by,cm,Executlve,Delegatlon.,cm,CMA
180921,by,cm,Executlve,Delegatlon.,Comments,Executlve,Executive
180922,cm,Executlve,Delegatlon.,Comments,rom,Delegatlon.,Delegation.
180924,Delegatlon.,Comments,rom,member,company,rom,from
180927,member,company,CED'S,on,unpact,CED'S,CEO's
180929,CED'S,on,unpact,of,Treasury,unpact,impact
180935,tax,plan,mm,respect,to,mm,with
180938,respect,to,capltal,formatlon,and,capltal,capital
180939,to,capltal,formatlon,and,forelgn,formatlon,formation
180941,formatlon,and,forelgn,t.x,lssues,forelgn,foreign
180942,and,forelgn,t.x,lssues,as,t.x,tax
180943,forelgn,t.x,lssues,as,requested,lssues,issues
180946,as,requested,1n,Executlve,letter,1n,in
180947,requested,1n,Executlve,letter,from,Executlve,Executive
180951,from,B.,Courtey,comments,to,Courtey,Courtesy
180954,comments,to,Asslstant,Secretary,Tax,Asslstant,Assistant
180957,Secretary,Tax,Pollcy,1.,Price,Pollcy,Policy
180960,1.,Price,aterhouse,Study,2.,aterhouse,Waterhouse
180968,a.,General,reservatlon,on,opposltlon,reservatlon,reservation
180970,reservatlon,on,opposltlon,mall,untll,opposltlon,opposition
180971,on,opposltlon,mall,untll,after,mall,mail
180972,opposltlon,mall,untll,after,Mousesenate,untll,until
180974,untll,after,Mousesenate,conference,on,Mousesenate,MouseSenate
180979,Superfund,reauthorlzatlon,leglslatlon.,Coordlnaton,of,leglslatlon.,legislation.
180980,reauthorlzatlon,leglslatlon.,Coordlnaton,of,Actlvltles,Coordlnaton,Coordination
180982,Coordlnaton,of,Actlvltles,Hlth,Allled,Actlvltles,Activities
180983,of,Actlvltles,Hlth,Allled,Trade,Hlth,with
180984,Actlvltles,Hlth,Allled,Trade,Assoclatlons,Allled,Allied
180986,Allled,Trade,Assoclatlons,1dent1£1c.tlon,of,Assoclatlons,Associations
180987,Trade,Assoclatlons,1dent1£1c.tlon,of,allled,1dent1£1c.tlon,identification
180989,1dent1£1c.tlon,of,allled,1nterest,groups,allled,allied
180990,of,allled,1nterest,groups,(completed,1nterest,interest
180995,September,"9,",19357,Speclflc,sslgnments,19357,1985)
180996,"9,",19357,Speclflc,sslgnments,of,Speclflc,Specific
180997,19357,Speclflc,sslgnments,of,task,sslgnments,Assignments
181003,members,to,attend/monltor,allled,tr.de,attend/monltor,attend/monitor
181004,to,attend/monltor,allled,tr.de,group,allled,allied
181005,attend/monltor,allled,tr.de,group,meetlngs,tr.de,trade
181007,tr.de,group,meetlngs,"(completed,",September,meetlngs,meetings
181011,September,"13,",19357,Transmltt.l,of,19357,1985)
181012,"13,",19357,Transmltt.l,of,CMA,Transmltt.l,Transmittal
181016,CMA,Tax,Pollcy,posltlon,to,Pollcy,Policy
181017,Tax,Pollcy,posltlon,to,allled,posltlon,position
181019,posltlon,to,allled,trade,assoclatl-ns,allled,allied
181021,allled,trade,assoclatl-ns,1.,Drlgl,assoclatl-ns,associations
181029,19357,2.,Revlsed,statement,to,Revlsed,Revised
181033,to,reflect,provlslons,of,3.x.,provlslons,provisions
181035,provlslons,of,3.x.,3939,(by,3.x.,H.R.
181036,of,3.x.,3939,(by,Febr,3939,3838
181047,More,threat,actlvltles,m,be,actlvltles,activities
181050,m,be,consldered,after,Ho,consldered,considered
181060,15,complete.,commas:,St.,(:13;,commas:,CONTACTS:
181062,commas:,St.,(:13;,Tweedle,Dlrector.,(:13;,Clair
181064,(:13;,Tweedle,Dlrector.,Government,Relatlons,Dlrector.,"Director,"
181066,Dlrector.,Government,Relatlons,Amerlcan,Cyanamld,Relatlons,Relations
181067,Government,Relatlons,Amerlcan,Cyanamld,Company,Amerlcan,American
181070,Cyanamld,Company,"Chalman,",Taxatlon,Task,"Chalman,","Chairman,"
181071,Company,"Chalman,",Taxatlon,Task,Group,Taxatlon,Taxation
181074,Task,Group,(2027,79-1222,William,(2027,(202)
181075,Group,(2027,79-1222,William,.,79-1222,789-1222
181080,"Bellamy,",Jr.,Chlef,Ta,Counsel,Chlef,Chief
181081,Jr.,Chlef,Ta,Counsel,Unlon,Ta,Tax
181083,Ta,Counsel,Unlon,Cablde,Corporatlon,Unlon,Union
181084,Counsel,Unlon,Cablde,Corporatlon,Chalman,Cablde,Carbide
181085,Unlon,Cablde,Corporatlon,Chalman,Tax,Corporatlon,Corporation
181086,Cablde,Corporatlon,Chalman,Tax,Pollcy,Chalman,"Chairman,"
181088,Chalman,Tax,Pollcy,Commlttee,12037,Pollcy,Policy
181090,Pollcy,Commlttee,12037,7975214,Robert,12037,(203)
181091,Commlttee,12037,7975214,Robert,B,7975214,794-6214
181094,Robert,B,3111,Leglslat,Ve,3111,Hill
181102,lon,CMA,Stat,Executlve,CMA,Stat,Staff
181103,CMA,Stat,Executlve,CMA,038m},Executlve,Executive
181105,Executlve,CMA,038m},EXHIBIT,‘.,038m},038603
181107,038m},EXHIBIT,‘.,TABLE,0F,‘.,G
181109,‘.,TABLE,0F,comst,upon,0F,OF
181110,TABLE,0F,comst,upon,0,comst,CONTENTS
181114,0,THE,mmsnmm,Assoclat,on,mmsnmm,PRESIDENT
181123,Page,ADVOCACY,ovmwmw,x,2,ovmwmw,OVERVIEW
181124,ADVOCACY,ovmwmw,x,2,3,x,X
181136,111.,a,Natlonal,Chemlcal,Response,Natlonal,National
181137,a,Natlonal,Chemlcal,Response,and,Chemlcal,Chemical
181140,Response,and,Informatloncenter,¢Ncn1cy............,an,Informatloncenter,InformationCenter
181141,and,Informatloncenter,¢Ncn1cy............,an,Plant,¢Ncn1cy............,(NCRIC)............
181169,CMA,CMA,039.04,upon,IF,039.04,038604
181171,039.04,upon,IF,THE,mmsnmm,IF,OF
181173,IF,THE,mmsnmm,ASSOCIA,mu,mmsnmm,PRESIDENT
181180,ISSUE,upon,ADVOCAC,ovmwmw,Congres-,ADVOCAC,ADVOCACY
181181,upon,ADVOCAC,ovmwmw,Congres-,The,ovmwmw,OVERVIEW
181182,ADVOCAC,ovmwmw,Congres-,The,flr-t,Congres-,Congress
181184,Congres-,The,flr-t,sesslon,of,flr-t,first
181185,The,flr-t,sesslon,of,the,sesslon,session
181192,was,an,actlve,one,for,actlve,active
181214,envlronmental,laws.,Congres,adopted,the,Congres,Congress
181217,adopted,the,Grammikudmani?olllngs,"b111,",a,Grammikudmani?olllngs,Gramm-Rudman-Hollings
181218,the,Grammikudmani?olllngs,"b111,",a,law,"b111,","bill,"
181221,a,law,whlch,requlre,a,whlch,which
181222,law,whlch,requlre,a,balanced,requlre,requires
181227,budget,by,flscal,1991,and,flscal,fiscal
181230,1991,and,requlres,Presldentlal,segues:,requlres,requires
181231,and,requlres,Presldentlal,segues:,atlon,Presldentlal,Presidential
181245,1n,order,t-,achleve,1ntemedlate,t-,to
181246,order,t-,achleve,1ntemedlate,deflclt,achleve,achieve
181247,t-,achleve,1ntemedlate,deflclt,targets,1ntemedlate,intermediate
181248,achleve,1ntemedlate,deflclt,targets,each,deflclt,deficit
181256,and,the,Preldent,do,not,Preldent,President
181260,not,meet,deflclt,targets,through,deflclt,deficit
181263,targets,through,leglslatlve,actlon,each,leglslatlve,legislative
181264,through,leglslatlve,actlon,each,year.,actlon,action
181268,year.,The,Bone,passed,a,Bone,House
181271,passed,a,comprehenslve,tax,reform,comprehenslve,comprehensive
181276,mm.,The,mu,reduces,tax,mu,bill
181279,reduces,tax,rat-s,for,1nd1v1duals;,rat-s,rates
181281,rat-s,for,1nd1v1duals;,1ncreases,the,1nd1v1duals;,individuals;
181282,for,1nd1v1duals;,1ncreases,the,personal,1ncreases,increases
181285,the,personal,exemptlon,and,the,exemptlon,exemption
181288,and,the,standar,deductlon,for,standar,standard
181289,the,standar,deductlon,for,1nd1v1duals;,deductlon,deduction
181291,deductlon,for,1nd1v1duals;,reduces,real,1nd1v1duals;,individuals;
181297,tax,shelters;,repeal:,the,1nvestment,repeal:,repeals
181299,repeal:,the,1nvestment,tax,credit;,1nvestment,investment
181303,credit;,reduces,Elva,corporate,brackets,Elva,five
181335,current,level;,establlshes,a,broadibased,establlshes,establishes
181337,establlshes,a,broadibased,25,percent,broadibased,broad-based
181344,for,both,cozpor.tlons,and,1nd1v1duals,cozpor.tlons,corporations
181346,cozpor.tlons,and,1nd1v1duals,and,establlshes,1nd1v1duals,individuals
181348,1nd1v1duals,and,establlshes,less,favorable,establlshes,establishes
181351,less,favorable,depreclatlon,schedu,es.,depreclatlon,depreciation
181366,Water,Act,throng,1939;,and,throng,through
181367,Act,throng,1939;,and,authorlze,1939;,1989;
181369,1939;,and,authorlze,a,total,authorlze,authorize
181374,of,$12,bllllon,for,sewage,bllllon,billion
181377,for,sewage,constructlon,grants,and,constructlon,construction
181381,and,$9,bllllon,for,water,bllllon,billion
181384,for,water,pollutlon,control,through,pollutlon,pollution
181389,m,1990.,131115,assed,1n,131115,Bills
181390,1990.,131115,assed,1n,dlfferlng,assed,passed
181391,131115,assed,1n,dlfferlng,toms,1n,in
181392,assed,1n,dlfferlng,toms,by,dlfferlng,differing
181393,1n,dlfferlng,toms,by,both,toms,forms
181422,fundlng,"level,",fundln,mechanlsm,and,fundln,funding
181423,"level,",fundln,mechanlsm,and,program,mechanlsm,mechanism
181426,and,program,lssues.,Congre-s,passed,lssues.,issues.
181427,program,lssues.,Congre-s,passed,the,Congre-s,Congress
181430,passed,the,Textlle,and,Apparel,Textlle,Textile
181441,to,the,Presldent.,1:,was,Presldent.,President.
181452,1:,would,ave,become,law,ave,have
181455,become,law,wlthout,ms,slgnature.,wlthout,without
181456,law,wlthout,ms,slgnature.,The,ms,his
181457,wlthout,ms,slgnature.,The,mm,slgnature.,signature.
181459,slgnature.,The,mm,was,deslgned,mm,bill
181461,mm,was,deslgned,m,restrlt,deslgned,designed
181463,deslgned,m,restrlt,and,regulate,restrlt,restrict
181466,and,regulate,textlle,"1mports,",yet,textlle,textile
181467,regulate,textlle,"1mports,",yet,malntaln,"1mports,","imports,"
181469,"1mports,",yet,malntaln,a,level,malntaln,maintain
181473,level,of,forelgn,import,hlgh,forelgn,foreign
181475,forelgn,import,hlgh,enough,to,hlgh,high
181480,allow,consumer,cholae.,Page,I,cholae.,choice.
181484,I,CMA,mans,The,195,mans,038606
181486,mans,The,195,Congresslonal,sesslon,195,1986
181487,The,195,Congresslonal,sesslon,15,Congresslonal,Congressional
181488,195,Congresslonal,sesslon,15,Very,sesslon,session
181491,15,Very,unpredlcatable,at,thls,unpredlcatable,unpredicatable
181493,unpredlcatable,at,thls,time,becaus,thls,this
181495,thls,time,becaus,the,Grannikudmani?olllngs,becaus,because
181497,becaus,the,Grannikudmani?olllngs,deflclt,reductlon,Grannikudmani?olllngs,Gramm-Rudman-Hollings
181498,the,Grannikudmani?olllngs,deflclt,reductlon,law,deflclt,deficit
181499,Grannikudmani?olllngs,deflclt,reductlon,law,presents,reductlon,reduction
181503,presents,Congress,mm,m-ny,new,mm,with
181504,Congress,mm,m-ny,new,challenges.,m-ny,many
181509,Add,to,thls,the,usual,thls,this
181512,the,usual,uncertalntles,of,an,uncertalntles,uncertainties
181515,of,an,electl-n,year,and,electl-n,election
181528,for,the,Congres.,Feder.l,Regulatory,Congres.,Congress.
181529,the,Congres.,Feder.l,Regulatory,Agencles,Feder.l,Federal
181531,Feder.l,Regulatory,Agencles,Envlr-,mental,Agencles,Agencies
181557,"Act,",the,Toxlc,Substances,Control,Toxlc,Toxic
181560,Substances,Control,"ACt,",the,Safe,"ACt,","Act,"
181563,the,Safe,Drlnklng,Water,Act,Drlnklng,Drinking
181566,Water,Act,(5|:sz,and,the,(5|:sz,(SDWA)
181569,and,the,Reseach,Conservatlon,and,Reseach,Research
181570,the,Reseach,Conservatlon,and,Recovery,Conservatlon,Conservation
181575,Act,(RCRA).,Regul.tory,actlvltles,under,Regul.tory,Regulatory
181576,(RCRA).,Regul.tory,actlvltles,under,the,actlvltles,activities
181579,under,the,5|:sz,are,especlally,5|:sz,SDWA
181581,5|:sz,are,especlally,"Vigorous,",and,especlally,especially
181582,are,especlally,"Vigorous,",and,RCRA,"Vigorous,","vigorous,"
181585,and,RCRA,1mplementatlon,durlng,the,1mplementatlon,implementation
181586,RCRA,1mplementatlon,durlng,the,next,durlng,during
181589,the,next,uarter,Will,be,uarter,quarter
181592,Will,be,dynamlc.,Food,.nd,dynamlc.,dynamic.
181594,dynamlc.,Food,.nd,Drug,Admlnlstratlon,.nd,and
181596,.nd,Drug,Admlnlstratlon,mm.,The,Admlnlstratlon,Administration
181600,The,recent,declslon,by,FDA,declslon,decision
181619,at,a,15k,of,one,15k,risk
181622,of,one,1n,3,million,1n,in
181633,the,2ero,rlsk,concet.,The,rlsk,risk
181634,2ero,rlsk,concet.,The,declslon,concet.,concept.
181636,concet.,The,declslon,15,sure,declslon,decision
